timestep	potential_energy	temperature
0	0	0
100	0	0.1310037203
200	-17.01475344	0.2118382809
300	-33.52192872	0.2489134184
400	-43.60498683	0.2434800696
500	-65.11458806	0.2709745927
600	-69.13785149	0.2046569329
700	-83.02058721	0.2382875209
800	-93.61628908	0.2406130713
900	-99.07821497	0.2589753461
1000	-104.6401925	0.2501829787
1100	-119.5173294	0.2345246295
1200	-137.1740818	0.2423697745
1300	-145.0645544	0.2297272462
1400	-157.4184913	0.2357971565
1500	-166.4540984	0.2360350123
1600	-174.6083723	0.243140292
1700	-182.619634	0.240570397
1800	-185.1730169	0.2385423054
1900	-195.9810741	0.240093507
2000	-195.8053243	0.2325448991
2100	-192.43237	0.2269721694
2200	-201.2995827	0.2308665908
2300	-210.5779845	0.2254839582
2400	-214.7031354	0.2167899384
2500	-225.4039127	0.2281161624
2600	-240.3900638	0.2133197119
2700	-250.7217078	0.2224599101
2800	-257.6014254	0.230963361
2900	-262.8947154	0.2081176853
3000	-260.9937779	0.2121449255
3100	-264.1785976	0.2005905978
3200	-271.9512902	0.2348998445
3300	-280.5232171	0.242025054
3400	-287.8407442	0.2480914539
3500	-288.0077104	0.2018026377
3600	-296.9104674	0.2145461821
3700	-298.158268	0.1976794731
3800	-295.2783109	0.198868398
3900	-306.1094645	0.2230144273
4000	-309.7963505	0.2214486552
4100	-316.4918464	0.1986969508
4200	-329.3699217	0.2178659626
4300	-332.6620172	0.2225128534
4400	-336.0927091	0.2127108543
4500	-337.7184778	0.1981691236
4600	-343.1209111	0.1964946348
4700	-343.3970516	0.2140383297
4800	-342.3179253	0.2246496798
4900	-342.3918368	0.1896121974
5000	-348.3488337	0.2295424373
5100	-346.8481012	0.2262349821
5200	-346.4561968	0.1990402539
5300	-347.0600281	0.2072900616
5400	-342.0688922	0.193607873
5500	-335.712146	0.196041645
5600	-339.2300341	0.2088416741
5700	-343.9455404	0.2068946976
5800	-342.7453212	0.197499889
5900	-349.0580397	0.2092656399
6000	-343.9287227	0.1824310759
6100	-348.3856902	0.1980970993
6200	-358.5606672	0.2408671099
6300	-362.6724733	0.2710680046
6400	-365.5667359	0.2183145759
6500	-370.7228016	0.2075805971
6600	-377.5622289	0.2240094008
6700	-382.9057533	0.212406628
6800	-379.3026819	0.1947666568
6900	-383.3670771	0.2152137099
7000	-385.7113788	0.1973607427
7100	-381.1714712	0.1806813454
7200	-379.0911459	0.1704551657
7300	-385.0021445	0.1949798505
7400	-384.6187979	0.1986483995
7500	-382.6920151	0.1835799084
7600	-383.1657673	0.2061702896
7700	-382.9331227	0.1912317984
7800	-386.6925736	0.1999280483
7900	-387.3130501	0.2196112689
8000	-395.1920641	0.2109696005
8100	-393.9078598	0.194693623
8200	-405.5017368	0.2182243733
8300	-408.9462622	0.2024896371
8400	-409.0179417	0.1940652559
8500	-412.1514085	0.195877447
8600	-413.6995598	0.211265047
8700	-412.0026649	0.2060160373
8800	-414.7347996	0.2164693511
8900	-405.4830442	0.1824871306
9000	-405.8643467	0.1804254766
9100	-413.5334027	0.2179466611
9200	-418.6269999	0.2353250443
9300	-417.068807	0.2189099987
9400	-422.2162606	0.2143879464
9500	-419.5296416	0.2018451949
9600	-424.5574212	0.2195100312
9700	-422.4994432	0.2112326757
9800	-431.0233062	0.1924499333
9900	-435.0806504	0.2022550003
